serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254491
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254512
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254532
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254552
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254572
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254593
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254612
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254632
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254653
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254672
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254693
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254713
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254733
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254753
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254774
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254793
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254814
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254834
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254854
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254874
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254895
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254914
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254935
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254955
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254974
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254995
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255015
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255035
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255055
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255076
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255095
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255116
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255136
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255156
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255176
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255197
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255216
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255237
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255257
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255277
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255297
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255318
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255337
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255357
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255378
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255397
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255418
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255438
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255458
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255478
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255499
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255518
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255539
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255559
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255579
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255599
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255620
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255639
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255660
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255680
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255699
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255720
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255740
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255760
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255780
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255801
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255820
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	255841
