
Actual data:
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7938
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7958
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7979
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7998
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8018
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8039
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8058
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8079
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8099
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8119
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8139
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8160
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8179
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8200
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8220
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8240
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8260
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8281
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8300
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8321
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8341
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8360
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8381
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8401
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8421
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8441
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8462
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8481
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8502
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8522
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8542
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8562
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8583
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8602
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8623
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8643
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8663
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8683
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8704
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8723
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8743
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8764
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8783
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8804
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8824
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8844
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8864
