serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92149
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92170
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92189
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92210
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92230
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92250
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92270
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92291
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92310
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92331
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92351
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92370
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92391
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92411
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92431
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92451
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92472
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92491
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92512
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92532
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92552
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92572
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92593
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92612
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92633
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92653
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92673
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92693
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92713
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92733
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92753
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92774
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92793
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92814
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92834
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92854
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92874
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92895
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92914
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92935
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92955
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92975
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92995
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93016
